,LTCUSD_i,open,close,low,high,HL/2,HLC/3,HLCC/4,OHLC/4,volume,time
274,LTCUSD_i,221.27,225.22,219.56,225.41,222.485,223.39666666666668,223.85250000000002,222.865,61150,2021-04-07 16:00:00
275,LTCUSD_i,225.24,221.03,220.49,225.31,222.9,222.27666666666667,221.965,223.0175,52230,2021-04-07 17:00:00
276,LTCUSD_i,221.06,217.93,217.4,224.69,221.04500000000002,220.00666666666666,219.4875,220.26999999999998,57960,2021-04-07 18:00:00
277,LTCUSD_i,217.93,223.2,214.94,224.47,219.70499999999998,220.86999999999998,221.4525,220.135,84540,2021-04-07 19:00:00
278,LTCUSD_i,223.2,216.78,215.44,223.33,219.385,218.51666666666665,218.08249999999998,219.6875,53770,2021-04-07 20:00:00
279,LTCUSD_i,216.83,216.94,215.94,222.17,219.055,218.35,217.9975,217.97,64860,2021-04-07 21:00:00
280,LTCUSD_i,216.94,220.54,213.2,221.57,217.385,218.43666666666664,218.96249999999998,218.0625,77310,2021-04-07 22:00:00
281,LTCUSD_i,220.54,220.1,215.77,221.15,218.46,219.00666666666666,219.28,219.39,55280,2021-04-07 23:00:00
282,LTCUSD_i,220.0,223.53,219.18,223.9,221.54000000000002,222.20333333333335,222.535,221.6525,37540,2021-04-08 01:00:00
283,LTCUSD_i,223.53,218.85,218.48,223.55,221.015,220.29333333333332,219.9325,221.1025,37920,2021-04-08 02:00:00
284,LTCUSD_i,218.85,223.06,217.67,225.21,221.44,221.98000000000002,222.25,221.19750000000002,65210,2021-04-08 03:00:00
285,LTCUSD_i,223.06,223.26,222.19,224.53,223.36,223.32666666666668,223.31,223.26,35550,2021-04-08 04:00:00
286,LTCUSD_i,223.26,221.16,219.2,223.36,221.28,221.24,221.22,221.745,39410,2021-04-08 05:00:00
287,LTCUSD_i,221.16,220.89,218.69,221.82,220.255,220.46666666666667,220.5725,220.64,34870,2021-04-08 06:00:00
288,LTCUSD_i,220.89,223.98,220.57,224.93,222.75,223.16,223.365,222.5925,35080,2021-04-08 07:00:00
289,LTCUSD_i,223.98,222.49,221.99,225.7,223.845,223.39333333333335,223.16750000000002,223.54000000000002,29500,2021-04-08 08:00:00
290,LTCUSD_i,222.49,225.9,222.49,226.52,224.505,224.97,225.2025,224.35,30050,2021-04-08 09:00:00
291,LTCUSD_i,225.9,225.5,224.44,226.78,225.61,225.57333333333335,225.555,225.655,33590,2021-04-08 10:00:00
292,LTCUSD_i,225.51,222.5,221.44,227.25,224.345,223.73000000000002,223.4225,224.175,37350,2021-04-08 11:00:00
293,LTCUSD_i,222.5,220.13,219.19,224.19,221.69,221.17,220.91,221.5025,40810,2021-04-08 12:00:00
294,LTCUSD_i,220.13,219.51,216.69,220.69,218.69,218.96333333333334,219.1,219.255,36100,2021-04-08 13:00:00
295,LTCUSD_i,219.51,218.45,216.87,220.34,218.60500000000002,218.55333333333337,218.52750000000003,218.79250000000002,39290,2021-04-08 14:00:00
296,LTCUSD_i,218.44,223.45,217.71,224.32,221.015,221.82666666666668,222.23250000000002,220.98000000000002,33730,2021-04-08 15:00:00
297,LTCUSD_i,223.45,223.19,222.24,224.41,223.325,223.27999999999997,223.2575,223.3225,27440,2021-04-08 16:00:00
298,LTCUSD_i,223.19,223.19,222.45,226.79,224.62,224.14333333333335,223.90500000000003,223.90500000000003,27080,2021-04-08 17:00:00
299,LTCUSD_i,223.19,224.65,223.19,225.76,224.475,224.53333333333333,224.5625,224.1975,25320,2021-04-08 18:00:00
300,LTCUSD_i,224.66,224.86,224.24,226.18,225.21,225.09333333333333,225.035,224.98499999999999,29080,2021-04-08 19:00:00
301,LTCUSD_i,224.86,223.73,222.55,225.21,223.88,223.83,223.805,224.0875,24360,2021-04-08 20:00:00
302,LTCUSD_i,223.73,224.25,222.75,224.91,223.82999999999998,223.97,224.04,223.91,18830,2021-04-08 21:00:00
303,LTCUSD_i,224.25,222.52,221.94,224.54,223.24,223.0,222.88,223.3125,19970,2021-04-08 22:00:00
304,LTCUSD_i,222.52,223.49,222.38,224.3,223.34,223.39000000000001,223.41500000000002,223.1725,20240,2021-04-08 23:00:00
305,LTCUSD_i,224.81,226.32,224.19,226.6,225.39499999999998,225.7033333333333,225.85749999999996,225.47999999999996,23670,2021-04-09 01:00:00
306,LTCUSD_i,226.37,225.91,224.77,227.82,226.29500000000002,226.16666666666666,226.1025,226.2175,27270,2021-04-09 02:00:00
307,LTCUSD_i,225.91,227.91,225.69,228.38,227.035,227.32666666666668,227.4725,226.9725,28050,2021-04-09 03:00:00
308,LTCUSD_i,227.91,225.39,225.19,228.69,226.94,226.42333333333332,226.165,226.795,25100,2021-04-09 04:00:00
309,LTCUSD_i,225.39,225.01,224.94,227.26,226.1,225.73666666666668,225.555,225.65,23030,2021-04-09 05:00:00
310,LTCUSD_i,225.0,224.03,223.88,225.66,224.76999999999998,224.5233333333333,224.39999999999998,224.64249999999998,26240,2021-04-09 06:00:00
311,LTCUSD_i,224.02,224.91,223.94,225.78,224.86,224.87666666666667,224.885,224.6625,19660,2021-04-09 07:00:00
312,LTCUSD_i,224.91,223.26,223.21,225.85,224.53,224.10666666666665,223.89499999999998,224.30749999999998,21120,2021-04-09 08:00:00
313,LTCUSD_i,223.26,223.44,223.01,225.68,224.345,224.04333333333332,223.89249999999998,223.8475,23220,2021-04-09 09:00:00
314,LTCUSD_i,223.45,224.97,222.68,224.97,223.825,224.20666666666668,224.3975,224.01749999999998,22670,2021-04-09 10:00:00
315,LTCUSD_i,224.97,222.99,222.32,225.65,223.985,223.65333333333334,223.4875,223.98250000000002,33760,2021-04-09 11:00:00
