,GBPAUD_i,open,close,low,high,HL/2,HLC/3,HLCC/4,OHLC/4,volume,time
4142,GBPAUD_i,1.90897,1.90845,1.9080300000000001,1.90931,1.90867,1.9085966666666667,1.90856,1.90869,1084,2021-08-20 21:00:00
4143,GBPAUD_i,1.90843,1.9071,1.90697,1.9085100000000002,1.90774,1.9075266666666666,1.90742,1.9077525,1112,2021-08-20 22:00:00
4144,GBPAUD_i,1.90708,1.90732,1.90689,1.90812,1.907505,1.9074433333333332,1.9074125,1.9073525,2514,2021-08-20 23:00:00
4145,GBPAUD_i,1.9081299999999999,1.9099599999999999,1.9053499999999999,1.9123299999999999,1.9088399999999999,1.909213333333333,1.9093999999999998,1.9089424999999998,421,2021-08-23 00:00:00
4146,GBPAUD_i,1.9085299999999998,1.908,1.9066999999999998,1.91058,1.90864,1.9084266666666665,1.9083199999999998,1.9084524999999999,1577,2021-08-23 01:00:00
4147,GBPAUD_i,1.908,1.90828,1.90755,1.90845,1.908,1.9080933333333334,1.90814,1.90807,776,2021-08-23 02:00:00
4148,GBPAUD_i,1.90827,1.90798,1.90642,1.90834,1.9073799999999999,1.90758,1.90768,1.9077525,2180,2021-08-23 03:00:00
4149,GBPAUD_i,1.9079700000000002,1.90638,1.9050799999999999,1.90811,1.9065949999999998,1.9065233333333331,1.9064875,1.906885,2583,2021-08-23 04:00:00
4150,GBPAUD_i,1.90638,1.9055,1.90541,1.90675,1.90608,1.9058866666666667,1.90579,1.9060100000000002,1452,2021-08-23 05:00:00
4151,GBPAUD_i,1.90551,1.9054799999999998,1.9040599999999999,1.90591,1.904985,1.90515,1.9052324999999999,1.90524,1406,2021-08-23 06:00:00
4152,GBPAUD_i,1.90554,1.9060700000000002,1.9051200000000001,1.90651,1.905815,1.9059000000000001,1.9059425,1.9058100000000002,935,2021-08-23 07:00:00
4153,GBPAUD_i,1.9060700000000002,1.9068,1.90541,1.90687,1.9061400000000002,1.90636,1.90647,1.9062875,1390,2021-08-23 08:00:00
4154,GBPAUD_i,1.90679,1.90625,1.90621,1.9079199999999998,1.9070649999999998,1.9067933333333331,1.9066575,1.9067925,3232,2021-08-23 09:00:00
4155,GBPAUD_i,1.9062299999999999,1.90578,1.90537,1.90734,1.906355,1.9061633333333334,1.9060675,1.90618,4353,2021-08-23 10:00:00
4156,GBPAUD_i,1.90581,1.90382,1.9034499999999999,1.9067699999999999,1.9051099999999999,1.90468,1.904465,1.9049625,4074,2021-08-23 11:00:00
4157,GBPAUD_i,1.90382,1.9045299999999998,1.9027699999999999,1.90465,1.9037099999999998,1.9039833333333334,1.9041199999999998,1.9039424999999999,3103,2021-08-23 12:00:00
4158,GBPAUD_i,1.90452,1.90411,1.9035,1.90541,1.904455,1.9043400000000001,1.9042825,1.904385,2186,2021-08-23 13:00:00
4159,GBPAUD_i,1.90411,1.90454,1.9033,1.90525,1.9042750000000002,1.9043633333333334,1.9044075,1.9043,2523,2021-08-23 14:00:00
4160,GBPAUD_i,1.90457,1.9044400000000001,1.90382,1.9055499999999999,1.904685,1.9046033333333334,1.9045625000000002,1.904595,2984,2021-08-23 15:00:00
4161,GBPAUD_i,1.90446,1.90538,1.9035600000000001,1.90551,1.904535,1.9048166666666668,1.9049575,1.9047275000000001,6482,2021-08-23 16:00:00
4162,GBPAUD_i,1.90538,1.90486,1.90465,1.9065400000000001,1.905595,1.90535,1.9052275,1.9053575,5462,2021-08-23 17:00:00
4163,GBPAUD_i,1.9047800000000001,1.90285,1.90245,1.9054799999999998,1.903965,1.9035933333333332,1.9034075,1.90389,3753,2021-08-23 18:00:00
4164,GBPAUD_i,1.9028399999999999,1.90293,1.90225,1.90313,1.90269,1.90277,1.9028100000000001,1.9027875,2000,2021-08-23 19:00:00
4165,GBPAUD_i,1.90293,1.90296,1.9021400000000002,1.90313,1.902635,1.9027433333333335,1.9027975000000001,1.90279,1238,2021-08-23 20:00:00
4166,GBPAUD_i,1.90296,1.90219,1.90212,1.9031099999999999,1.902615,1.9024733333333332,1.9024025,1.902595,1403,2021-08-23 21:00:00
4167,GBPAUD_i,1.90221,1.90242,1.90188,1.9027699999999999,1.9023249999999998,1.9023566666666667,1.9023725,1.90232,1846,2021-08-23 22:00:00
4168,GBPAUD_i,1.9024100000000002,1.90233,1.9019599999999999,1.90266,1.90231,1.9023166666666667,1.90232,1.9023400000000001,1824,2021-08-23 23:00:00
4169,GBPAUD_i,1.90168,1.90252,1.90021,1.90292,1.901565,1.9018833333333334,1.9020425,1.9018325,382,2021-08-24 00:00:00
4170,GBPAUD_i,1.90218,1.9022700000000001,1.90095,1.90259,1.90177,1.9019366666666666,1.9020199999999998,1.9019974999999998,586,2021-08-24 01:00:00
4171,GBPAUD_i,1.9022700000000001,1.9034,1.90192,1.9034,1.90266,1.9029066666666665,1.9030299999999998,1.9027474999999998,541,2021-08-24 02:00:00
4172,GBPAUD_i,1.90348,1.9043,1.90266,1.90448,1.90357,1.9038133333333331,1.903935,1.90373,1342,2021-08-24 03:00:00
4173,GBPAUD_i,1.9043,1.90245,1.90127,1.90448,1.9028749999999999,1.9027333333333332,1.9026625,1.903125,1618,2021-08-24 04:00:00
4174,GBPAUD_i,1.90238,1.89973,1.89951,1.9024,1.9009550000000002,1.9005466666666668,1.9003425,1.901005,1182,2021-08-24 05:00:00
4175,GBPAUD_i,1.89973,1.90021,1.89919,1.9008699999999998,1.9000299999999999,1.9000899999999998,1.9001199999999998,1.9,782,2021-08-24 06:00:00
4176,GBPAUD_i,1.90019,1.90063,1.89994,1.90133,1.9006349999999999,1.9006333333333334,1.9006325,1.9005225000000001,639,2021-08-24 07:00:00
4177,GBPAUD_i,1.90062,1.89937,1.8982999999999999,1.90144,1.89987,1.8997033333333333,1.89962,1.8999325,1708,2021-08-24 08:00:00
