,USDCHF_i,open,close,low,high,HL/2,HLC/3,HLCC/4,OHLC/4,volume,time
4974,USDCHF_i,0.92863,0.92876,0.92863,0.92912,0.9288749999999999,0.9288366666666666,0.9288175,0.928785,821,2021-10-08 13:00:00
4975,USDCHF_i,0.92877,0.92873,0.9284,0.92892,0.92866,0.9286833333333334,0.928695,0.9287050000000001,1431,2021-10-08 14:00:00
4976,USDCHF_i,0.92872,0.92649,0.92579,0.9288,0.927295,0.9270266666666668,0.9268925000000001,0.9274500000000001,6328,2021-10-08 15:00:00
4977,USDCHF_i,0.9265,0.92799,0.926,0.92901,0.927505,0.9276666666666666,0.9277475,0.927375,4754,2021-10-08 16:00:00
4978,USDCHF_i,0.92799,0.92665,0.92633,0.92806,0.927195,0.9270133333333334,0.9269225,0.9272575,3470,2021-10-08 17:00:00
4979,USDCHF_i,0.92664,0.92705,0.92631,0.9277,0.927005,0.9270200000000001,0.9270275,0.926925,2335,2021-10-08 18:00:00
4980,USDCHF_i,0.92703,0.92737,0.92692,0.92784,0.92738,0.9273766666666666,0.9273750000000001,0.92729,935,2021-10-08 19:00:00
4981,USDCHF_i,0.92737,0.9269,0.92686,0.92766,0.92726,0.92714,0.9270799999999999,0.9271974999999999,686,2021-10-08 20:00:00
4982,USDCHF_i,0.9269,0.92646,0.92617,0.92693,0.92655,0.92652,0.926505,0.926615,1162,2021-10-08 21:00:00
4983,USDCHF_i,0.92647,0.92692,0.92633,0.92738,0.926855,0.9268766666666667,0.9268875,0.926775,568,2021-10-08 22:00:00
4984,USDCHF_i,0.92692,0.92701,0.92671,0.92725,0.92698,0.92699,0.926995,0.9269725,709,2021-10-08 23:00:00
4985,USDCHF_i,0.92666,0.92653,0.92648,0.92722,0.92685,0.9267433333333334,0.92669,0.9267225,300,2021-10-11 00:00:00
4986,USDCHF_i,0.92649,0.92724,0.92648,0.92744,0.92696,0.9270533333333333,0.9270999999999999,0.9269125,580,2021-10-11 01:00:00
4987,USDCHF_i,0.92724,0.92776,0.92717,0.92782,0.927495,0.9275833333333333,0.9276275,0.9274975,396,2021-10-11 02:00:00
4988,USDCHF_i,0.92777,0.92735,0.92658,0.92778,0.92718,0.9272366666666666,0.927265,0.92737,903,2021-10-11 03:00:00
