,AUDCHF_i,open,close,low,high,HL/2,HLC/3,HLCC/4,OHLC/4,volume,time
4082,AUDCHF_i,0.66336,0.66364,0.66336,0.66382,0.6635899999999999,0.6636066666666666,0.663615,0.6635449999999999,1564,2021-08-18 09:00:00
4083,AUDCHF_i,0.66364,0.66268,0.66244,0.66377,0.663105,0.6629633333333333,0.6628925,0.6631325,2138,2021-08-18 10:00:00
4084,AUDCHF_i,0.66267,0.66264,0.6626,0.66368,0.6631400000000001,0.6629733333333334,0.6628900000000001,0.6628975,2214,2021-08-18 11:00:00
4085,AUDCHF_i,0.66263,0.66239,0.6618,0.66283,0.662315,0.66234,0.6623525,0.6624125000000001,1909,2021-08-18 12:00:00
4086,AUDCHF_i,0.66238,0.66314,0.66181,0.66314,0.6624749999999999,0.6626966666666666,0.6628074999999999,0.6626174999999999,1882,2021-08-18 13:00:00
4087,AUDCHF_i,0.66317,0.66334,0.6629,0.66372,0.6633100000000001,0.66332,0.663325,0.6632825,1984,2021-08-18 14:00:00
4088,AUDCHF_i,0.66334,0.6635,0.66303,0.66368,0.663355,0.6634033333333333,0.6634275000000001,0.6633875,2377,2021-08-18 15:00:00
4089,AUDCHF_i,0.66349,0.664,0.66283,0.6641,0.663465,0.6636433333333334,0.6637325000000001,0.663605,3210,2021-08-18 16:00:00
4090,AUDCHF_i,0.66397,0.66388,0.6631,0.66414,0.66362,0.6637066666666667,0.6637500000000001,0.6637725,3182,2021-08-18 17:00:00
4091,AUDCHF_i,0.66389,0.66388,0.66359,0.66487,0.66423,0.6641133333333333,0.6640550000000001,0.6640575,2784,2021-08-18 18:00:00
4092,AUDCHF_i,0.66388,0.66399,0.66365,0.66412,0.6638850000000001,0.6639200000000001,0.6639375000000001,0.66391,1831,2021-08-18 19:00:00
4093,AUDCHF_i,0.66397,0.66376,0.66354,0.6643,0.6639200000000001,0.6638666666666667,0.66384,0.6638925,1176,2021-08-18 20:00:00
4094,AUDCHF_i,0.66359,0.66373,0.66358,0.66468,0.66413,0.6639966666666667,0.66393,0.663895,4913,2021-08-18 21:00:00
4095,AUDCHF_i,0.66373,0.663,0.66293,0.66397,0.66345,0.6633,0.663225,0.6634075,2863,2021-08-18 22:00:00
4096,AUDCHF_i,0.66299,0.66318,0.66276,0.66346,0.6631100000000001,0.6631333333333335,0.6631450000000001,0.6630975000000001,1370,2021-08-18 23:00:00
4097,AUDCHF_i,0.66308,0.66282,0.66166,0.66322,0.66244,0.6625666666666666,0.66263,0.662695,1195,2021-08-19 00:00:00
4098,AUDCHF_i,0.66287,0.66343,0.66257,0.66363,0.6631,0.66321,0.663265,0.663125,535,2021-08-19 01:00:00
4099,AUDCHF_i,0.66338,0.66325,0.66305,0.66343,0.66324,0.6632433333333334,0.6632450000000001,0.6632775000000001,736,2021-08-19 02:00:00
4100,AUDCHF_i,0.66326,0.66264,0.66256,0.66349,0.663025,0.6628966666666667,0.6628325,0.6629875000000001,1363,2021-08-19 03:00:00
