,EURGBP_i,open,close,low,high,HL/2,HLC/3,HLCC/4,OHLC/4,volume,time
4110,EURGBP_i,0.85406,0.8542,0.85349,0.85423,0.8538600000000001,0.8539733333333334,0.8540300000000001,0.8539950000000001,1907,2021-08-19 13:00:00
4111,EURGBP_i,0.85421,0.85495,0.85411,0.85503,0.85457,0.8546966666666668,0.8547600000000001,0.8545750000000001,1885,2021-08-19 14:00:00
4112,EURGBP_i,0.85495,0.85497,0.8547,0.85544,0.85507,0.8550366666666666,0.8550199999999999,0.855015,2405,2021-08-19 15:00:00
4113,EURGBP_i,0.85498,0.85448,0.85432,0.85545,0.854885,0.85475,0.8546825,0.8548074999999999,3476,2021-08-19 16:00:00
4114,EURGBP_i,0.85448,0.85505,0.85434,0.85574,0.85504,0.8550433333333333,0.8550449999999999,0.8549025,4000,2021-08-19 17:00:00
4115,EURGBP_i,0.85507,0.85515,0.85486,0.85553,0.8551949999999999,0.8551799999999999,0.8551725,0.8551525,2816,2021-08-19 18:00:00
4116,EURGBP_i,0.85515,0.85592,0.85495,0.85595,0.85545,0.8556066666666666,0.855685,0.8554925,1544,2021-08-19 19:00:00
4117,EURGBP_i,0.85593,0.85556,0.85548,0.85604,0.8557600000000001,0.8556933333333334,0.8556600000000001,0.8557525,1352,2021-08-19 20:00:00
4118,EURGBP_i,0.85556,0.85598,0.85552,0.85598,0.85575,0.8558266666666666,0.8558649999999999,0.85576,2363,2021-08-19 21:00:00
4119,EURGBP_i,0.85596,0.85625,0.85572,0.85634,0.8560300000000001,0.8561033333333334,0.8561400000000001,0.8560675000000001,1821,2021-08-19 22:00:00
4120,EURGBP_i,0.85624,0.85587,0.85587,0.85643,0.85615,0.8560566666666666,0.8560099999999999,0.8561025,1229,2021-08-19 23:00:00
4121,EURGBP_i,0.85587,0.85597,0.85514,0.8563,0.85572,0.8558033333333334,0.8558450000000001,0.85582,492,2021-08-20 00:00:00
4122,EURGBP_i,0.85613,0.85633,0.85568,0.85645,0.8560650000000001,0.8561533333333333,0.8561975,0.8561475,510,2021-08-20 01:00:00
4123,EURGBP_i,0.85632,0.85647,0.85632,0.85668,0.8565,0.85649,0.8564849999999999,0.8564475,393,2021-08-20 02:00:00
4124,EURGBP_i,0.85647,0.8563,0.8563,0.85666,0.8564799999999999,0.85642,0.85639,0.8564324999999999,864,2021-08-20 03:00:00
4125,EURGBP_i,0.8563,0.85713,0.85628,0.85752,0.8569,0.8569766666666666,0.8570149999999999,0.8568074999999999,1608,2021-08-20 04:00:00
4126,EURGBP_i,0.85713,0.85722,0.85693,0.85726,0.8570949999999999,0.8571366666666665,0.8571574999999999,0.857135,600,2021-08-20 05:00:00
4127,EURGBP_i,0.85722,0.85721,0.85705,0.85743,0.85724,0.85723,0.8572250000000001,0.8572275,964,2021-08-20 06:00:00
4128,EURGBP_i,0.85723,0.85702,0.85695,0.85723,0.85709,0.8570666666666668,0.857055,0.8571075,723,2021-08-20 07:00:00
4129,EURGBP_i,0.85702,0.85703,0.85698,0.85767,0.857325,0.8572266666666666,0.8571774999999999,0.8571749999999999,1466,2021-08-20 08:00:00
4130,EURGBP_i,0.85697,0.85773,0.85696,0.85783,0.857395,0.8575066666666666,0.8575625,0.8573725,1944,2021-08-20 09:00:00
4131,EURGBP_i,0.85775,0.85748,0.85729,0.85814,0.857715,0.8576366666666667,0.8575975,0.8576650000000001,3105,2021-08-20 10:00:00
4132,EURGBP_i,0.85747,0.85686,0.85655,0.85765,0.8571,0.85702,0.8569800000000001,0.8571325000000001,1855,2021-08-20 11:00:00
4133,EURGBP_i,0.85685,0.85721,0.85681,0.85751,0.8571599999999999,0.8571766666666667,0.8571850000000001,0.857095,1529,2021-08-20 12:00:00
4134,EURGBP_i,0.8572,0.85747,0.85716,0.85786,0.85751,0.8574966666666667,0.8574900000000001,0.8574225,1320,2021-08-20 13:00:00
4135,EURGBP_i,0.85747,0.8571,0.857,0.85776,0.85738,0.8572866666666666,0.85724,0.8573325,1805,2021-08-20 14:00:00
4136,EURGBP_i,0.85707,0.85748,0.85705,0.85767,0.85736,0.8574,0.8574200000000001,0.8573175,2406,2021-08-20 15:00:00
4137,EURGBP_i,0.85747,0.85676,0.85655,0.85771,0.85713,0.8570066666666666,0.856945,0.8571225,3677,2021-08-20 16:00:00
4138,EURGBP_i,0.85677,0.85772,0.85635,0.85778,0.857065,0.8572833333333333,0.8573925,0.857155,2587,2021-08-20 17:00:00
4139,EURGBP_i,0.85774,0.85783,0.85726,0.85815,0.8577049999999999,0.8577466666666665,0.8577674999999999,0.857745,2038,2021-08-20 18:00:00
4140,EURGBP_i,0.85781,0.85865,0.85777,0.85879,0.85828,0.8584033333333334,0.858465,0.858255,1952,2021-08-20 19:00:00
4141,EURGBP_i,0.85865,0.85842,0.85815,0.85866,0.858405,0.85841,0.8584125,0.85847,1078,2021-08-20 20:00:00
4142,EURGBP_i,0.85841,0.85848,0.85825,0.85868,0.858465,0.8584700000000001,0.8584725000000001,0.8584550000000001,774,2021-08-20 21:00:00
