,GER40_i,open,close,low,high,HL/2,HLC/3,HLCC/4,OHLC/4,volume,time
16880,GER40_i,13591.7,13537.7,13525.7,13597.7,13561.7,13553.700000000003,13549.7,13563.2,2613,2021-01-27 16:00:00
16881,GER40_i,13536.7,13594.7,13526.7,13596.7,13561.7,13572.700000000003,13578.2,13563.7,1715,2021-01-27 16:15:00
16882,GER40_i,13594.7,13500.7,13498.0,13598.7,13548.35,13532.466666666667,13524.525000000001,13548.025000000001,4679,2021-01-27 16:30:00
16883,GER40_i,13501.7,13533.7,13472.7,13551.7,13512.2,13519.366666666669,13522.95,13514.95,3755,2021-01-27 16:45:00
16884,GER40_i,13532.7,13556.7,13522.7,13567.7,13545.2,13549.033333333335,13550.95,13544.95,3401,2021-01-27 17:00:00
16885,GER40_i,13557.7,13604.7,13537.7,13628.7,13583.2,13590.366666666669,13593.95,13582.2,3283,2021-01-27 17:15:00
16886,GER40_i,13604.7,13610.7,13580.7,13632.7,13606.7,13608.033333333335,13608.7,13607.2,3198,2021-01-27 17:30:00
16887,GER40_i,13611.7,13648.7,13611.7,13657.7,13634.7,13639.366666666669,13641.7,13632.45,2665,2021-01-27 17:45:00
16888,GER40_i,13648.7,13636.7,13626.7,13653.7,13640.2,13639.033333333335,13638.45,13641.45,2075,2021-01-27 18:00:00
16889,GER40_i,13635.7,13649.0,13619.7,13649.0,13634.35,13639.233333333332,13641.675,13638.349999999999,1888,2021-01-27 18:15:00
16890,GER40_i,13647.7,13663.7,13617.7,13670.7,13644.2,13650.700000000003,13653.95,13649.95,2635,2021-01-27 18:30:00
16891,GER40_i,13662.7,13608.7,13605.7,13687.7,13646.7,13634.033333333335,13627.7,13641.2,2449,2021-01-27 18:45:00
