,NZDCHF_i,open,close,low,high,HL/2,HLC/3,HLCC/4,OHLC/4,volume,time
17037,NZDCHF_i,0.6391,0.6386,0.6386,0.63912,0.63886,0.6387733333333333,0.6387299999999999,0.638855,316,2021-08-27 18:15:00
17038,NZDCHF_i,0.6386,0.63895,0.6386,0.639,0.6388,0.63885,0.638875,0.6387875,245,2021-08-27 18:30:00
17039,NZDCHF_i,0.63895,0.6392,0.63876,0.63921,0.6389849999999999,0.6390566666666666,0.6390925,0.63903,452,2021-08-27 18:45:00
17040,NZDCHF_i,0.63923,0.63921,0.63903,0.63933,0.63918,0.63919,0.639195,0.6392,403,2021-08-27 19:00:00
17041,NZDCHF_i,0.63918,0.63915,0.63901,0.63926,0.639135,0.6391399999999999,0.6391425,0.63915,362,2021-08-27 19:15:00
17042,NZDCHF_i,0.63916,0.63876,0.63875,0.63926,0.639005,0.6389233333333334,0.6388825,0.6389825,413,2021-08-27 19:30:00
17043,NZDCHF_i,0.63876,0.63888,0.63873,0.63896,0.638845,0.6388566666666667,0.6388625,0.6388325,409,2021-08-27 19:45:00
17044,NZDCHF_i,0.63889,0.6389,0.63885,0.63915,0.639,0.6389666666666667,0.63895,0.6389475,507,2021-08-27 20:00:00
17045,NZDCHF_i,0.6389,0.63885,0.63882,0.63902,0.63892,0.6388966666666667,0.638885,0.6388975,222,2021-08-27 20:15:00
17046,NZDCHF_i,0.63885,0.63914,0.63881,0.63918,0.638995,0.6390433333333333,0.6390675,0.638995,326,2021-08-27 20:30:00
17047,NZDCHF_i,0.63914,0.639,0.63896,0.63917,0.639065,0.6390433333333333,0.6390325,0.6390675,294,2021-08-27 20:45:00
17048,NZDCHF_i,0.63898,0.63892,0.63886,0.63902,0.6389400000000001,0.6389333333333335,0.6389300000000001,0.6389450000000001,303,2021-08-27 21:00:00
17049,NZDCHF_i,0.63891,0.63905,0.63887,0.6391,0.638985,0.6390066666666666,0.6390175,0.6389825,261,2021-08-27 21:15:00
17050,NZDCHF_i,0.63905,0.63917,0.63896,0.6392,0.63908,0.63911,0.6391249999999999,0.639095,162,2021-08-27 21:30:00
17051,NZDCHF_i,0.63916,0.63885,0.63874,0.6392,0.63897,0.6389300000000001,0.6389100000000001,0.6389875,244,2021-08-27 21:45:00
17052,NZDCHF_i,0.63885,0.63863,0.63855,0.6389,0.638725,0.6386933333333333,0.6386775,0.6387325,159,2021-08-27 22:00:00
17053,NZDCHF_i,0.63863,0.63846,0.63845,0.6387,0.638575,0.6385366666666666,0.6385175000000001,0.63856,82,2021-08-27 22:15:00
17054,NZDCHF_i,0.63845,0.6387,0.63842,0.6387,0.63856,0.6386066666666667,0.63863,0.6385675,139,2021-08-27 22:30:00
17055,NZDCHF_i,0.6387,0.63887,0.63851,0.63893,0.63872,0.63877,0.638795,0.6387525000000001,196,2021-08-27 22:45:00
17056,NZDCHF_i,0.63882,0.63912,0.63865,0.63912,0.638885,0.6389633333333333,0.6390025,0.6389275,164,2021-08-27 23:00:00
17057,NZDCHF_i,0.63912,0.63881,0.63875,0.6392,0.6389750000000001,0.63892,0.6388925,0.63897,137,2021-08-27 23:15:00
17058,NZDCHF_i,0.63881,0.63885,0.63874,0.63898,0.63886,0.6388566666666667,0.6388550000000001,0.638845,135,2021-08-27 23:30:00
17059,NZDCHF_i,0.63882,0.6386,0.63837,0.63895,0.63866,0.63864,0.6386299999999999,0.638685,112,2021-08-27 23:45:00
17060,NZDCHF_i,0.63857,0.63732,0.63705,0.63857,0.63781,0.6376466666666666,0.6375649999999999,0.6378775,68,2021-08-30 00:00:00
17061,NZDCHF_i,0.63769,0.63747,0.63707,0.63788,0.637475,0.6374733333333333,0.6374725,0.6375275,111,2021-08-30 00:15:00
17062,NZDCHF_i,0.63741,0.63821,0.63708,0.63822,0.63765,0.6378366666666667,0.63793,0.63773,79,2021-08-30 00:30:00
17063,NZDCHF_i,0.63821,0.63818,0.63716,0.63823,0.6376949999999999,0.6378566666666666,0.6379374999999999,0.637945,91,2021-08-30 00:45:00
17064,NZDCHF_i,0.63865,0.6383,0.63779,0.63865,0.63822,0.6382466666666667,0.63826,0.6383475000000001,325,2021-08-30 01:00:00
17065,NZDCHF_i,0.6383,0.63831,0.63805,0.63838,0.638215,0.6382466666666667,0.6382625000000001,0.63826,118,2021-08-30 01:15:00
17066,NZDCHF_i,0.63832,0.63797,0.63793,0.63835,0.6381399999999999,0.6380833333333333,0.638055,0.6381425000000001,136,2021-08-30 01:30:00
17067,NZDCHF_i,0.63802,0.63842,0.63797,0.63845,0.6382099999999999,0.63828,0.638315,0.638215,79,2021-08-30 01:45:00
17068,NZDCHF_i,0.63845,0.63849,0.63817,0.6386,0.638385,0.63842,0.6384375,0.6384274999999999,219,2021-08-30 02:00:00
17069,NZDCHF_i,0.63849,0.63875,0.63844,0.63885,0.638645,0.63868,0.6386975,0.6386325,199,2021-08-30 02:15:00
17070,NZDCHF_i,0.63875,0.63885,0.63864,0.63906,0.6388499999999999,0.63885,0.63885,0.638825,140,2021-08-30 02:30:00
17071,NZDCHF_i,0.63885,0.63877,0.63861,0.63895,0.63878,0.6387766666666667,0.638775,0.638795,141,2021-08-30 02:45:00
17072,NZDCHF_i,0.63878,0.63833,0.63816,0.6389,0.63853,0.6384633333333333,0.6384299999999999,0.6385425,188,2021-08-30 03:00:00
17073,NZDCHF_i,0.63833,0.63848,0.63818,0.63882,0.6385000000000001,0.6384933333333334,0.63849,0.6384525,209,2021-08-30 03:15:00
17074,NZDCHF_i,0.63848,0.63827,0.63826,0.6386,0.63843,0.6383766666666667,0.63835,0.6384025,150,2021-08-30 03:30:00
17075,NZDCHF_i,0.63829,0.63777,0.63776,0.63834,0.63805,0.6379566666666666,0.63791,0.6380399999999999,288,2021-08-30 03:45:00
17076,NZDCHF_i,0.63778,0.63772,0.63751,0.63793,0.6377200000000001,0.63772,0.63772,0.6377349999999999,449,2021-08-30 04:00:00
17077,NZDCHF_i,0.63772,0.63836,0.63756,0.63836,0.6379600000000001,0.6380933333333334,0.6381600000000001,0.638,304,2021-08-30 04:15:00
