,HSI50_i,open,close,low,high,HL/2,HLC/3,HLCC/4,OHLC/4,volume,time
818,HSI50_i,24844.0,24965.5,24824.5,24975.5,24900.0,24921.833333333332,24932.75,24902.375,20865,2020-11-04 04:00:00
819,HSI50_i,24962.0,24990.5,24769.5,25027.5,24898.5,24929.166666666668,24944.5,24937.375,69220,2020-11-04 08:00:00
820,HSI50_i,24990.5,25299.0,24941.0,25346.0,25143.5,25195.333333333332,25221.25,25144.125,39510,2020-11-04 12:00:00
821,HSI50_i,25300.0,25432.5,25190.5,25501.0,25345.75,25374.666666666668,25389.125,25356.0,36705,2020-11-04 16:00:00
822,HSI50_i,25538.5,25573.0,25496.0,25595.0,25545.5,25554.666666666668,25559.25,25550.625,14120,2020-11-05 04:00:00
823,HSI50_i,25569.5,25889.0,25497.5,25891.0,25694.25,25759.166666666668,25791.625,25711.75,52515,2020-11-05 08:00:00
824,HSI50_i,25890.0,25987.5,25876.5,26033.5,25955.0,25965.833333333332,25971.25,25946.875,44730,2020-11-05 12:00:00
825,HSI50_i,25985.5,25897.5,25818.5,26019.5,25919.0,25911.833333333332,25908.25,25930.25,38210,2020-11-05 16:00:00
826,HSI50_i,25607.5,25628.5,25550.5,25668.5,25609.5,25615.833333333332,25619.0,25613.75,14255,2020-11-06 04:00:00
827,HSI50_i,25627.5,25607.5,25580.5,25808.0,25694.25,25665.333333333332,25650.875,25655.875,45745,2020-11-06 08:00:00
828,HSI50_i,25607.5,25767.5,25593.5,25770.5,25682.0,25710.5,25724.75,25684.75,31900,2020-11-06 12:00:00
829,HSI50_i,25770.5,25838.5,25740.5,25864.5,25802.5,25814.5,25820.5,25803.5,30960,2020-11-06 16:00:00
830,HSI50_i,26158.5,26107.5,26068.5,26186.5,26127.5,26120.833333333332,26117.5,26130.25,14355,2020-11-09 04:00:00
831,HSI50_i,26107.0,26054.0,25951.5,26118.5,26035.0,26041.333333333332,26044.5,26057.75,47955,2020-11-09 08:00:00
832,HSI50_i,26054.0,26778.5,26053.0,26846.5,26449.75,26559.333333333332,26614.125,26433.0,72805,2020-11-09 12:00:00
833,HSI50_i,26778.5,26596.5,26538.5,26860.5,26699.5,26665.166666666668,26648.0,26693.5,47075,2020-11-09 16:00:00
834,HSI50_i,26182.5,26099.0,26088.5,26271.5,26180.0,26153.0,26139.5,26160.375,13995,2020-11-10 04:00:00
835,HSI50_i,26094.5,26378.5,26059.0,26446.5,26252.75,26294.666666666668,26315.625,26244.625,60780,2020-11-10 08:00:00
836,HSI50_i,26378.5,26324.5,26263.5,26399.5,26331.5,26329.166666666668,26328.0,26341.5,39420,2020-11-10 12:00:00
837,HSI50_i,26321.5,26275.5,26176.5,26392.5,26284.5,26281.5,26280.0,26291.5,35680,2020-11-10 16:00:00
838,HSI50_i,26305.5,26336.5,26282.5,26400.0,26341.25,26339.666666666668,26338.875,26331.125,13115,2020-11-11 04:00:00
839,HSI50_i,26334.5,26314.5,26173.5,26404.0,26288.75,26297.333333333332,26301.625,26306.625,52705,2020-11-11 08:00:00
840,HSI50_i,26314.5,26324.5,26288.5,26374.5,26331.5,26329.166666666668,26328.0,26325.5,24630,2020-11-11 12:00:00
841,HSI50_i,26323.5,26370.5,26283.5,26387.5,26335.5,26347.166666666668,26353.0,26341.25,25080,2020-11-11 16:00:00
842,HSI50_i,26098.0,26156.5,26081.5,26193.0,26137.25,26143.666666666668,26146.875,26132.25,13025,2020-11-12 04:00:00
843,HSI50_i,26155.0,26301.0,26068.5,26316.0,26192.25,26228.5,26246.625,26210.125,41015,2020-11-12 08:00:00
844,HSI50_i,26302.0,26242.0,26197.0,26358.0,26277.5,26265.666666666668,26259.75,26274.75,28445,2020-11-12 12:00:00
845,HSI50_i,26243.0,26288.0,26204.5,26296.0,26250.25,26262.833333333332,26269.125,26257.875,20650,2020-11-12 16:00:00
846,HSI50_i,26045.0,26039.5,26004.5,26090.5,26047.5,26044.833333333332,26043.5,26044.875,11550,2020-11-13 04:00:00
847,HSI50_i,26043.0,26242.0,26022.5,26248.0,26135.25,26170.833333333332,26188.625,26138.875,39280,2020-11-13 08:00:00
848,HSI50_i,26242.0,26192.0,26173.0,26277.0,26225.0,26214.0,26208.5,26221.0,22575,2020-11-13 12:00:00
849,HSI50_i,26188.5,26162.0,26118.5,26234.0,26176.25,26171.5,26169.125,26175.75,18885,2020-11-13 16:00:00
850,HSI50_i,26285.5,26320.0,26250.5,26327.5,26289.0,26299.333333333332,26304.5,26295.875,10755,2020-11-16 04:00:00
851,HSI50_i,26318.5,26377.5,26274.0,26389.0,26331.5,26346.833333333332,26354.5,26339.75,35150,2020-11-16 08:00:00
852,HSI50_i,26377.5,26443.5,26328.5,26495.5,26412.0,26422.5,26427.75,26411.25,27430,2020-11-16 12:00:00
