,ASX200_i,open,close,low,high,HL/2,HLC/3,HLCC/4,OHLC/4,volume,time
1238,ASX200_i,7190.9,7194.9,7130.8,7198.9,7164.85,7174.866666666666,7179.875,7178.875,3819,2021-09-29 04:00:00
1239,ASX200_i,7195.8,7212.9,7157.8,7221.9,7189.85,7197.533333333333,7201.375,7197.099999999999,4624,2021-09-29 08:00:00
1240,ASX200_i,7212.9,7218.9,7210.8,7225.9,7218.35,7218.533333333333,7218.625,7217.125,1728,2021-09-29 12:00:00
1241,ASX200_i,7218.9,7217.1,7199.0,7244.1,7221.55,7220.066666666667,7219.325000000001,7219.775,4507,2021-09-29 16:00:00
1242,ASX200_i,7218.1,7211.0,7206.0,7232.1,7219.05,7216.366666666666,7215.025,7216.799999999999,2202,2021-09-29 20:00:00
1243,ASX200_i,7211.5,7244.9,7201.1,7267.9,7234.5,7237.966666666667,7239.700000000001,7231.35,1965,2021-09-30 00:00:00
1244,ASX200_i,7244.9,7312.9,7242.9,7315.9,7279.4,7290.566666666666,7296.15,7279.15,2716,2021-09-30 04:00:00
1245,ASX200_i,7312.8,7302.9,7281.6,7332.9,7307.25,7305.8,7305.075000000001,7307.55,3925,2021-09-30 08:00:00
1246,ASX200_i,7303.9,7257.9,7257.8,7310.9,7284.35,7275.533333333333,7271.125,7282.625,1938,2021-09-30 12:00:00
1247,ASX200_i,7256.8,7206.1,7197.0,7258.9,7227.95,7220.666666666667,7217.025,7229.7,5201,2021-09-30 16:00:00
1248,ASX200_i,7206.1,7190.0,7187.0,7233.1,7210.05,7203.366666666666,7200.025,7204.049999999999,3215,2021-09-30 20:00:00
1249,ASX200_i,7195.1,7191.9,7179.5,7226.8,7203.15,7199.399999999999,7197.525,7198.324999999999,2529,2021-10-01 00:00:00
1250,ASX200_i,7190.8,7181.9,7140.9,7190.8,7165.85,7171.2,7173.875,7176.099999999999,4825,2021-10-01 04:00:00
1251,ASX200_i,7181.9,7137.9,7119.1,7183.9,7151.5,7146.966666666667,7144.700000000001,7155.700000000001,6103,2021-10-01 08:00:00
1252,ASX200_i,7137.9,7161.9,7128.8,7172.9,7150.85,7154.533333333333,7156.375,7150.375,2661,2021-10-01 12:00:00
1253,ASX200_i,7161.9,7166.0,7131.0,7183.1,7157.05,7160.033333333333,7161.525,7160.5,6903,2021-10-01 16:00:00
1254,ASX200_i,7167.0,7198.0,7165.0,7217.1,7191.05,7193.366666666666,7194.525,7186.775,1604,2021-10-01 20:00:00
1255,ASX200_i,7210.1,7252.9,7158.8,7294.9,7226.85,7235.533333333333,7239.875,7229.174999999999,3343,2021-10-04 00:00:00
1256,ASX200_i,7251.8,7256.9,7224.8,7265.9,7245.35,7249.2,7251.125,7249.849999999999,3402,2021-10-04 04:00:00
1257,ASX200_i,7255.9,7225.9,7199.8,7270.9,7235.35,7232.2,7230.625,7238.125,4990,2021-10-04 08:00:00
1258,ASX200_i,7225.9,7230.0,7210.9,7239.9,7225.4,7226.933333333333,7227.7,7226.674999999999,2219,2021-10-04 12:00:00
1259,ASX200_i,7230.0,7175.0,7166.0,7241.0,7203.5,7194.0,7189.25,7203.0,5170,2021-10-04 16:00:00
1260,ASX200_i,7175.0,7194.8,7169.0,7201.0,7185.0,7188.266666666666,7189.9,7184.95,2769,2021-10-04 20:00:00
1261,ASX200_i,7197.1,7191.9,7190.8,7257.8,7224.3,7213.5,7208.1,7209.4,2966,2021-10-05 00:00:00
